fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
92916,Lyttleton Arms,"1      Camden High Street, London",NW1 7JE,529150,183432,51.535029,-0.139335,Camden
92923,Mabel's Tavern,"9      Mabledon Place, London",WC1H 9AZ,529989,182646,51.527773,-0.127536,Camden
92978,Marlborough Arms,"36      Torrington Place, London",WC1E 7HJ,529550,181922,51.521367,-0.134126,Camden
92980,Marquis Cornwallis,"31      Marchmont Street, London",WC1N 1AP,530144,182342,51.525005,-0.125415,Camden
93002,McGlynn Freehouse,"1-5      Whidborne Street, London",WC1H 8ET,530279,182729,51.528452,-0.123327,Camden
93081,Museum Inn/Astor Museum,"27      Montague Street, London",WC1B 5BH,530190,181748,51.519657,-0.124971,Camden
93082,Museum Tavern,"49      Great Russell Street, London",WC1B 3BA,530134,181584,51.518196,-0.125838,Camden
93085,My Old Dutch,"131-132      High Holborn, London",WC1V 6PS,530396,181524,51.517596,-0.122087,Camden
93110,Negozio Classica,"154      Regent's Park Road, London, Greater London",NW1 8XN,527927,184121,51.541499,-0.156708,Camden
93111,Nelsons Wine Bar Ltd,"48      Stanhope Street, London",NW1 3EX,529075,182495,51.526634,-0.140759,Camden
93115,New Ambassadors Theatre,"Ambassadors Theatre, West Street, London",WC2H 9ND,529997,181004,51.513006,-0.128026,Camden
93116,New Bloomsbury Set,"76      Marchmont Street, London, Greater London",WC1N 1AG,530133,182456,51.526032,-0.125531,Camden
93138,Night and Day Bar Imperial Hotel,"61-66      Russell Square, London",WC1B 5BA,530243,182038,51.522251,-0.124101,Camden
93152,Norfolk Arms,"28      Leigh Street, London",WC1H 9EP,530150,182525,51.526648,-0.125261,Camden
93157,North Star,"104      Finchley Road, London",NW3 5JJ,526416,184606,51.546198,-0.178311,Camden
93159,Northumberland Arms,"141      King's Cross Road, London",WC1X 9BJ,530776,182862,51.529532,-0.116117,Camden
93160,Northumberland Arms,"119      Tottenham Court Road, London",W1T 5AW,529315,182154,51.523506,-0.137426,Camden
93188,One Tun,"58-60      Goodge Street, London",W1T 4ND,529368,181673,51.519172,-0.136854,Camden
93189,O'Neill's,"73-77      Euston Road, London",NW1 2QS,530078,182770,51.528867,-0.126208,Camden
93195,O'Reilly's,"289-291      Kentish Town Road, London",NW5 2JS,528969,184977,51.548955,-0.141392,Camden
93211,Oxford Arms,"265      Camden High Street, London",NW1 7BU,528813,183994,51.540156,-0.143986,Camden
93215,Pakenham Arms Ltd,"1      Pakenham Street, London",WC1X 0LA,530898,182423,51.525559,-0.114522,Camden
93260,Pembroke,"150      Gloucester Avenue, London",NW1 8JA,528054,184200,51.54218,-0.154835,Camden
93261,Penderel's Oak,"New Penderel House, 283-287      High Holborn, London",WC1V 7HP,530856,181566,51.517867,-0.115445,Camden
93274,Phileas Hog at The Abbey Tavern,124      Kentish Town Road,NW1 9QB,528965,184669,51.546187,-0.141548,Camden
93276,Philomena’s,"40      Great Queen Street, London",WC2B 5AA,530416,181252,51.515147,-0.121914,Camden
93277,Phineas,"25      Gordon Street, London",WC1H 0AH,529617,182365,51.525333,-0.133013,Camden
93374,Prince Albert PH,"163      Royal College Street, London",NW1 0SG,529240,184085,51.540876,-0.137799,Camden
93375,Prince Arthur,"80-82      Eversholt Street, London",NW1 1BX,529574,182878,51.529953,-0.133429,Camden
93377,Prince of Wales,"53      Highgate High Street, London",N6 5JX,528378,187404,51.5709,-0.149011,Camden
93378,Prince Of Wales Feathers,"8      Warren Street, London",W1T 5LD,529240,182225,51.524161,-0.138481,Camden
93380,Princess,"22      Chalcot Road, London",NW1 8LL,528135,183990,51.540283,-0.153758,Camden
93381,Princess Louise,"208      High Holborn, London",WC1V 7BW,530423,181490,51.517284,-0.12171,Camden
93386,Proud Camden Horse Hospital,"The Stables Market, Chalk Farm Road, London",NW1 8AH,528574,184193,51.541999,-0.147372,Camden
93403,Queen's Head,"66      Acton Street, London",WC1X 9NB,530635,182748,51.528541,-0.118191,Camden
93404,Queens Head & Artichoke,"32      Albany Street, London",NW1 4EA,528847,182424,51.526039,-0.14407,Camden
93408,Quinns,"65      Kentish Town Road, London",NW1 8NY,528941,184349,51.543317,-0.142011,Camden
93414,Railway,"100      West End Lane, London",NW6 2LU,525539,184574,51.546097,-0.190963,Camden
93434,Resident's Club Bar,"William Goodenough House, 35-42      Mecklenburgh Square, London",WC1N 2AN,530604,182456,51.525924,-0.118746,Camden
93439,Reverend J W Simpson,32-34      Goodge Street,W1T 2QJ,529476,181739,51.51974,-0.135259,Camden
93447,Rising Sun,"46      Tottenham Court Road, London",W1T 2ED,529610,181683,51.519206,-0.13335,Camden
93463,Rose and Crown,71-73 Torriano Avenue,NW5 2SG,529551,185137,51.550259,-0.13293,Camden
93483,Royal George,"8-14      Eversholt Street, London",NW1 1DG,529710,182697,51.528304,-0.131536,Camden
93536,Salsa!,"96      Charing Cross Road, London",WC2H 0JG,529920,181125,51.51412,-0.129104,Camden
93570,Secrets,"34-38      Eversholt Street, London",NW1 1DA,529618,182816,51.529386,-0.132818,Camden
93571,Secrets,"51      Parker Street, London",WC2B 5PS,530494,181405,51.516504,-0.120733,Camden
93572,Secrets,"309      Finchley Road, London",NW3 6EH,526101,185020,51.54998,-0.182703,Camden
93573,Secrets,"4      Gray's Inn Road, London",WC1X 8HG,531147,181655,51.5186,-0.111221,Camden
93581,Sevilla Mia,22 Hanway Street,W1T 1UQ,529706,181430,51.51691,-0.132074,Camden
93586,Shaker and Company,"119      Hampstead Road, London, Greater London",NW1 3EE,529194,182651,51.528,-0.139001,Camden
93600,Simmons Bar,"28      Maple Street, London",W1T 6HP,529215,182011,51.522244,-0.138934,Camden
93607,Sir Chrisptopher Hatton,"4      Leather Lane, London",EC1N 7RA,531305,181650,51.518518,-0.108947,Camden
93608,Sir Colin Campbell,"264-266      Kilburn High Road, London",NW6 2BY,524947,184278,51.543577,-0.1996,Camden
93609,Sir John Oldcastle,"Farringdon Point, 29-35      Farringdon Road, London",EC1M 3JF,531496,181818,51.519983,-0.106133,Camden
93610,Sir Richard Steele,"97      Haverstock Hill, London",NW3 4RL,527781,184693,51.546681,-0.158604,Camden
93612,Sir Robert Peel,"108      Malden Road, London",NW5 4DA,528213,184910,51.548534,-0.152313,Camden
93619,Skinners Arms,"114      Judd Street, London",WC1H 9NT,530177,182667,51.527919,-0.124834,Camden
93622,Slatterys Bar,"69      Camden Road, London, Greater London",NW1 9EU,529213,184258,51.542437,-0.138125,Camden
93623,Smithy's Wine Bar,"15-17      Leeke Street, London, Greater London",WC1X 9HY,530626,182940,51.530268,-0.118249,Camden
93643,South Side Bar,"Royal National Hotel, Bedford Way, London",WC1H 0JX,530025,182145,51.523262,-0.127202,Camden
93644,Southampton Arms,"139      Highgate Road, London",NW5 1LE,528610,185757,51.556037,-0.146268,Camden
93649,Spearmint Rhino,"161      Tottenham Court Road, London",W1T 7NN,529376,182130,51.523276,-0.136557,Camden
93657,Spread Eagle,"141      Albert Street, London",NW1 7NB,528788,183657,51.537143,-0.144483,Camden
93665,St Aloysius Social Club,"Priests House, 20      Phoenix Road, London",NW1 1TA,529665,182954,51.530615,-0.13209,Camden
93680,St Martin's Theatre,"St Martins Theatre, West Street, London",WC2H 9NG,530029,180978,51.512765,-0.127575,Camden
93695,St Peters Italian Social Club,"St Peters Italian Church, 136      Clerkenwell Road, London",EC1R 5DL,531291,182058,51.522188,-0.108996,Camden
93791,Sway,"61-65      Great Queen Street, London",WC2B 5BZ,530468,181256,51.515171,-0.121149,Camden
93828,Tavistock Bar,"Tavistock Hotel, 46-55      Tavistock Square, London",WC1H 9EU,529944,182253,51.524251,-0.128329,Camden
93867,The Albert,"11      Princess Road, London",NW1 8JR,528230,183860,51.539085,-0.152436,Camden
93868,The Alliance,"40-42      Mill Lane, London",NW6 1NR,524809,185102,51.551012,-0.201297,Camden
93871,The Angel Inn,"37      Highgate High Street, London",N6 5JT,528501,187366,51.57053,-0.147251,Camden
93872,The Angel Public House,"61      St Giles High Street, London",WC2H 8LE,530012,181279,51.515483,-0.127722,Camden
93873,The Apple Tree,"45      Mount Pleasant, London",WC1X 0AE,531066,182196,51.52348,-0.112186,Camden
93874,The Arches,"7      Fairhazel Gardens, London",NW6 3QE,526250,184125,51.541921,-0.180875,Camden
93875,The Argyle,"1      Greville Street, London",EC1N 8PQ,531332,181723,51.519168,-0.108531,Camden
93876,The Assembly House,"292-294      Kentish Town Road, London",NW5 2TG,529028,185220,51.551125,-0.140453,Camden
93879,The Bar at TCR,"183      Tottenham Court Road, London",W1T 7PE,529457,181994,51.522036,-0.13544,Camden
93880,The Beaten Docket,"50-56      Cricklewood Broadway, London",NW2 3ET,524098,185372,51.553587,-0.211452,Camden
93890,The Black Lion,"274      Kilburn High Road, London",NW6 2BY,524947,184278,51.543577,-0.1996,Camden
93891,The Black Lion,295 West End Lane,NW6 1RD,525436,185157,51.551359,-0.19224,Camden
93892,The Bleeding Heart Tavern,"19      Greville Street, London",EC1N 8SQ,531431,181750,51.519388,-0.107094,Camden
93895,The Blue Lion,"133      Gray's Inn Road, London",WC1X 8TZ,530854,182197,51.523538,-0.11524,Camden
93896,The Blue Sea Fish Bar,"143      Queen's Crescent, London",NW5 4ED,528217,185053,51.549809,-0.152204,Camden
93897,The Blues Kitchen,"111-113      Camden High Street, London, Greater London",NW1 7JN,529017,183635,51.536893,-0.141191,Camden
93898,The Boot,"116      Cromer Street, London",WC1H 8BS,530216,182639,51.527658,-0.124268,Camden
93899,The Bountiful Cow,"47-51      Eagle Street, London",WC1R 4AP,530661,181655,51.518712,-0.118221,Camden
93900,The Bree Louise,"69      Cobourg Street, London",NW1 2HH,529427,182577,51.527282,-0.135672,Camden
93903,The Cambridge Theatre,"Cambridge Theatre, Earlham Street, London",WC2H 9HU,530107,181063,51.51352,-0.126419,Camden
93905,The Camden Head,100      Camden High Street,NW1 0LU,529015,183706,51.537522,-0.14118,Camden
93909,The Carpenters Arms,"105      King's Cross Road, London",WC1X 9LR,530789,182762,51.528631,-0.115967,Camden
93910,The Carpenters Arms,"68-70      Whitfield Street, London",W1T 4EY,529381,181966,51.521801,-0.136545,Camden
93916,The Cock Tavern,"23      Phoenix Road, London",NW1 1HB,529715,183017,51.53117,-0.131347,Camden
93918,The College Arms,"18      Store Street, London",WC1E 7DH,529705,181768,51.519948,-0.13195,Camden
93920,The Constitution Public House,"42      St Pancras Way, London",NW1 0QT,529404,184029,51.540336,-0.135456,Camden
93923,The Court,"108A      Tottenham Court Road, London",W1T 5AA,529344,182097,51.522987,-0.13703,Camden
93926,The Crown,"43      Monmouth Street, London",WC2H 9DD,530079,181157,51.514371,-0.126788,Camden
93927,The Crown PH,"51      New Oxford Street, London",WC1A 1BL,530096,181436,51.516865,-0.126441,Camden
93936,The Dolphin,"44      Red Lion Street, London",WC1R 4PF,530702,181784,51.519862,-0.117583,Camden
93937,The Dolphin Public House,"47      Tonbridge Street, London",WC1H 9DW,530183,182765,51.528798,-0.124697,Camden
93939,The Dublin Castle,"94      Parkway, London",NW1 7AN,528702,183688,51.537432,-0.145712,Camden
93940,The Duke of Hamilton,"23-25      New End, London",NW3 1JD,526420,186018,51.558877,-0.177746,Camden
93941,The Duke of York,"7      Roger Street, London",WC1N 2PB,530768,182111,51.522794,-0.11651,Camden
93942,The Electric Ballroom,"184      Camden High Street, London",NW1 8QP,528883,183945,51.5397,-0.142995,Camden
93943,The Engineer,"65      Gloucester Avenue, London",NW1 8JH,528339,183967,51.540022,-0.150841,Camden
93944,The Enterprise,"2      Haverstock Hill, London",NW3 2BL,528171,184434,51.544257,-0.153092,Camden
93945,The Enterprise,"38      Red Lion Street, London",WC1R 4PN,530717,181831,51.520281,-0.117364,Camden
93947,The Euston Flyer,"83-87      Euston Road, London",NW1 2RA,529996,182716,51.528401,-0.127423,Camden
93949,The Fiddlers Elbow,"1      Malden Road, London",NW5 3HS,528275,184683,51.546471,-0.151503,Camden
93950,The Fitzrovia,"18      Goodge Street, London",W1T 2QD,529504,181760,51.519922,-0.134863,Camden
93951,The Flask Public House,"14      Flask Walk, London",NW3 1HE,526482,185794,51.55685,-0.176933,Camden
